id,temp,humidity,wind,game_id
911,59,51,9,20230101CLEWAS
912,52,57,14,20230101INDNYG
913,47,80,2,20230101DENKAN
914,53,73,2,20230101MIANWE
915,54,57,11,20230101NORPHI
916,44,89,2,20230101PITBAL
917,45,93,2,20230101NYJSEA
918,39,79,7,20230101MINGNB
919,56,67,4,20230107TENJAX
920,30,74,6,20230108NWEBUF
921,38,62,7,20230108BALCIN
922,32,74,2,20230108MINCHI
923,36,64,8,20230108CLEPIT
924,75,66,9,20230108NYJMIA
925,57,77,2,20230108ARISFO
926,42,53,7,20230108DALWAS
927,43,39,4,20230108LACDEN
928,43,55,12,20230108NYGPHI
929,45,100,4,20230108LARSEA
930,21,92,4,20230108DETGNB
