id,refPosition,officialId,gameId
375,Line Judge,Mark Stewart,20180930DETDAL
376,Back Judge,Greg Yette,20180930DETDAL
377,Side Judge,Jabir Walker,20180930DETDAL
378,Field Judge,Greg Gautreaux,20180930DETDAL
379,Referee,Clay Martin,20180930NYJJAX
380,Umpire,Scott Novak,20180930NYJJAX
381,Down Judge,Danny Short,20180930NYJJAX
382,Line Judge,Kent Payne,20180930NYJJAX
383,Back Judge,Gregory Wilson,20180930NYJJAX
384,Side Judge,Brad Freeman,20180930NYJJAX
385,Field Judge,David Meslow,20180930NYJJAX
386,Referee,Alex Kemp,20180930MIANWE
387,Umpire,Richard Hall,20180930MIANWE
388,Down Judge,Tom Symonette,20180930MIANWE
389,Line Judge,Jeff Bergman,20180930MIANWE
390,Back Judge,Perry Paganelli,20180930MIANWE
391,Side Judge,Aaron Santi,20180930MIANWE
392,Field Judge,John Jenkins,20180930MIANWE
393,Referee,Shawn Hochuli,20180930PHITEN
394,Umpire,Roy Ellison,20180930PHITEN
395,Down Judge,Ed Camp,20180930PHITEN
396,Line Judge,Greg Bradley,20180930PHITEN
397,Back Judge,Rich Martinez,20180930PHITEN
398,Side Judge,Chad Hill,20180930PHITEN
399,Field Judge,Tom Hill,20180930PHITEN
400,Referee,Walt Anderson,20180930CLEOAK
401,Umpire,Carl Paganelli,20180930CLEOAK
402,Down Judge,Tom Stephan,20180930CLEOAK
403,Line Judge,Byron Boston,20180930CLEOAK
404,Back Judge,Lee Dyer,20180930CLEOAK
405,Side Judge,Rick Patterson,20180930CLEOAK
406,Field Judge,Terry Brown,20180930CLEOAK
407,Referee,John Hussey,20180930SEAARI
408,Umpire,Tony Michalek,20180930SEAARI
409,Down Judge,Kevin Codey,20180930SEAARI
410,Line Judge,Derick Bowers,20180930SEAARI
411,Back Judge,Greg Steed,20180930SEAARI
412,Side Judge,Allen Baynes,20180930SEAARI
413,Field Judge,Don Willard,20180930SEAARI
414,Referee,Peter Morelli,20180930NORNYG
415,Umpire,Steven Woods,20180930NORNYG
416,Down Judge,Steve Stelljes,20180930NORNYG
417,Line Judge,Jeff Seeman,20180930NORNYG
418,Back Judge,Keith Ferguson,20180930NORNYG
419,Side Judge,Boris Cheek,20180930NORNYG
420,Field Judge,Anthony Jeffries,20180930NORNYG
421,Referee,Ron Torbert,20180930SFOLAC
422,Umpire,Dan Ferrell,20180930SFOLAC
423,Down Judge,Sarah Thomas,20180930SFOLAC
424,Line Judge,Mark Steinkerchner,20180930SFOLAC
425,Back Judge,Anthony Josselyn,20180930SFOLAC
426,Side Judge,Scott Edwards,20180930SFOLAC
427,Field Judge,Jimmy Buchanan,20180930SFOLAC
428,Referee,Tony Corrente,20180930BALPIT
429,Umpire,Alan Eck,20180930BALPIT
430,Down Judge,Patrick Turner,20180930BALPIT
431,Line Judge,Tim Podraza,20180930BALPIT
432,Back Judge,Todd Prukop,20180930BALPIT
433,Side Judge,Ryan Dickson,20180930BALPIT
434,Field Judge,Keith Washington,20180930BALPIT
435,Referee,Craig Wrolstad,20181001KANDEN
436,Umpire,Paul King,20181001KANDEN
437,Down Judge,Jerod Phillips,20181001KANDEN
438,Line Judge,Carl Johnson,20181001KANDEN
439,Back Judge,Scott Helverson,20181001KANDEN
440,Side Judge,Adrian Hill,20181001KANDEN
441,Field Judge,Jeff Lamberth,20181001KANDEN
442,Referee,Shawn Hochuli,20181004INDNWE
443,Umpire,Roy Ellison,20181004INDNWE
444,Down Judge,Ed Camp,20181004INDNWE
445,Line Judge,Greg Bradley,20181004INDNWE
446,Back Judge,Rich Martinez,20181004INDNWE
447,Side Judge,Chad Hill,20181004INDNWE
448,Field Judge,Tom Hill,20181004INDNWE
449,Referee,Jerome Boger,20181007NYGCAR
450,Umpire,Bill Schuster,20181007NYGCAR
451,Down Judge,Mike Carr,20181007NYGCAR
452,Line Judge,Rusty Baynes,20181007NYGCAR
453,Back Judge,Tony Steratore,20181007NYGCAR
454,Side Judge,Jonah Monroe,20181007NYGCAR
455,Field Judge,Dale Shaw,20181007NYGCAR
456,Referee,John Parry,20181007ATLPIT
457,Umpire,Mark Pellis,20181007ATLPIT
458,Down Judge,David Oliver,20181007ATLPIT
459,Line Judge,Julian Mapp,20181007ATLPIT
460,Back Judge,Perry Paganelli,20181007ATLPIT
461,Side Judge,Michael Banks,20181007ATLPIT
462,Field Judge,Matt Edwards,20181007ATLPIT
463,Referee,Tony Corrente,20181007TENBUF
464,Umpire,Alan Eck,20181007TENBUF
465,Down Judge,Patrick Turner,20181007TENBUF
466,Line Judge,Tim Podraza,20181007TENBUF
467,Back Judge,Todd Prukop,20181007TENBUF
468,Side Judge,Ryan Dickson,20181007TENBUF
469,Field Judge,Keith Washington,20181007TENBUF
470,Referee,Craig Wrolstad,20181007MIACIN
471,Umpire,Paul King,20181007MIACIN
472,Down Judge,Jerod Phillips,20181007MIACIN
473,Line Judge,Carl Johnson,20181007MIACIN
474,Back Judge,Scott Helverson,20181007MIACIN
475,Side Judge,Adrian Hill,20181007MIACIN
476,Field Judge,Jeff Lamberth,20181007MIACIN
477,Referee,Clay Martin,20181007BALCLE
478,Umpire,Fred Bryan,20181007BALCLE
479,Down Judge,Danny Short,20181007BALCLE
480,Line Judge,Kent Payne,20181007BALCLE
481,Back Judge,Gregory Wilson,20181007BALCLE
482,Side Judge,Brad Freeman,20181007BALCLE
483,Field Judge,David Meslow,20181007BALCLE
484,Referee,Peter Morelli,20181007DENNYJ
485,Umpire,Steven Woods,20181007DENNYJ
486,Down Judge,Steve Stelljes,20181007DENNYJ
487,Line Judge,Jeff Seeman,20181007DENNYJ
488,Back Judge,Keith Ferguson,20181007DENNYJ
489,Side Judge,Boris Cheek,20181007DENNYJ
490,Field Judge,Anthony Jeffries,20181007DENNYJ
491,Referee,John Hussey,20181007GNBDET
492,Umpire,Tony Michalek,20181007GNBDET
493,Down Judge,Kevin Codey,20181007GNBDET
494,Line Judge,Derick Bowers,20181007GNBDET
495,Back Judge,Greg Steed,20181007GNBDET
496,Side Judge,Allen Baynes,20181007GNBDET
497,Field Judge,Mike Weatherford,20181007GNBDET
498,Referee,Brad Allen,20181007JAXKAN
499,Umpire,Ruben Fowler,20181007JAXKAN
500,Down Judge,Jim Mello,20181007JAXKAN
501,Line Judge,Brian Bolinger,20181007JAXKAN
502,Back Judge,Terrence Miles,20181007JAXKAN
503,Side Judge,Scott Novak,20181007JAXKAN
504,Field Judge,Steve Zimmer,20181007JAXKAN
505,Referee,Alex Kemp,20181007OAKLAC
506,Umpire,Richard Hall,20181007OAKLAC
507,Down Judge,Tom Symonette,20181007OAKLAC
508,Line Judge,Jeff Bergman,20181007OAKLAC
509,Back Judge,Lee Dyer,20181007OAKLAC
510,Side Judge,Aaron Santi,20181007OAKLAC
511,Field Judge,John Jenkins,20181007OAKLAC
512,Referee,Shawn Smith,20181007ARISFO
513,Umpire,Bryan Neale,20181007ARISFO
514,Down Judge,Mark Hittner,20181007ARISFO
515,Line Judge,Bart Longson,20181007ARISFO
516,Back Judge,Dino Paganelli,20181007ARISFO
517,Side Judge,James Coleman,20181007ARISFO
518,Field Judge,Brad Rogers,20181007ARISFO
519,Referee,Walt Coleman,20181007MINPHI
520,Umpire,Jeff Rice,20181007MINPHI
521,Down Judge,Jerry Bergman,20181007MINPHI
522,Line Judge,Mark Stewart,20181007MINPHI
523,Back Judge,Greg Yette,20181007MINPHI
524,Side Judge,Jabir Walker,20181007MINPHI
525,Field Judge,Greg Gautreaux,20181007MINPHI
526,Referee,Clete Blakeman,20181007LARSEA
527,Umpire,Ramon George,20181007LARSEA
528,Down Judge,Dana McKenzie,20181007LARSEA
529,Line Judge,Walt Coleman IV,20181007LARSEA
530,Back Judge,Jim Quirk,20181007LARSEA
531,Side Judge,Dyrol Prioleau,20181007LARSEA
532,Field Judge,Joe Larrew,20181007LARSEA
533,Referee,Bill Vinovich,20181007DALHOU
534,Umpire,Bruce Stritesky,20181007DALHOU
535,Down Judge,Mike Spanier,20181007DALHOU
536,Line Judge,Mark Perlman,20181007DALHOU
