id,date,season,week,attendance,stadiumId,gameDuration,roofType
20181021CLETAM,2018-10-21T13:00:00,2018,Week 7,53682,Raymond James Stadium,3:40:00,
20181021HOUJAX,2018-10-21T13:00:00,2018,Week 7,66534,TIAA Bank Stadium,2:52:00,
20181021MINNYJ,2018-10-21T13:00:00,2018,Week 7,77982,MetLife Stadium,3:29:00,
20181021NORBAL,2018-10-21T16:05:00,2018,Week 7,70639,M&T Bank Stadium,3:03:00,
20181021DALWAS,2018-10-21T16:25:00,2018,Week 7,66301,FedExField,3:05:00,
20181021LARSFO,2018-10-21T16:25:00,2018,Week 7,66597,Levi's Stadium,3:01:00,
20181021CINKAN,2018-10-21T20:20:00,2018,Week 7,75676,Arrowhead Stadium,3:04:00,
20181022NYGATL,2018-10-22T20:15:00,2018,Week 7,72756,Mercedes-Benz Stadium,2:57:00,open
20181025MIAHOU,2018-10-25T20:20:00,2018,Week 8,71726,NRG Stadium,3:21:00,closed
20181028PHIJAX,2018-10-28T09:30:00,2018,Week 8,85870,Wembley Stadium,2:53:00,
20181028BALCAR,2018-10-28T13:00:00,2018,Week 8,73843,Bank of America Stadium,3:05:00,
20181028NYJCHI,2018-10-28T13:00:00,2018,Week 8,61397,Soldier Field,3:00:00,
20181028SEADET,2018-10-28T13:00:00,2018,Week 8,65237,Ford Field,3:01:00,
20181028TAMCIN,2018-10-28T13:00:00,2018,Week 8,45134,Paul Brown Stadium,3:23:00,
20181028CLEPIT,2018-10-28T13:00:00,2018,Week 8,63780,Heinz Field,3:04:00,
20181028DENKAN,2018-10-28T13:00:00,2018,Week 8,77103,Arrowhead Stadium,3:10:00,
20181028WASNYG,2018-10-28T13:00:00,2018,Week 8,77537,MetLife Stadium,3:13:00,
20181028INDOAK,2018-10-28T16:05:00,2018,Week 8,54372,Oakland-Alameda County Coliseum,3:01:00,
20181028GNBLAR,2018-10-28T16:25:00,2018,Week 8,75822,Los Angeles Memorial Coliseum,3:19:00,
20181028SFOARI,2018-10-28T16:25:00,2018,Week 8,61923,State Farm Stadium,3:11:00,closed
20181028NORMIN,2018-10-28T20:20:00,2018,Week 8,66801,U.S. Bank Stadium,2:49:00,
20181029NWEBUF,2018-10-29T20:15:00,2018,Week 8,70109,New Era Field,3:14:00,
20181101OAKSFO,2018-11-01T20:20:00,2018,Week 9,69592,Levi's Stadium,2:50:00,
20181104ATLWAS,2018-11-04T13:00:00,2018,Week 9,62386,FedExField,2:57:00,
20181104TAMCAR,2018-11-04T13:00:00,2018,Week 9,73513,Bank of America Stadium,3:16:00,
20181104DETMIN,2018-11-04T13:00:00,2018,Week 9,66825,U.S. Bank Stadium,2:46:00,
20181104PITBAL,2018-11-04T13:00:00,2018,Week 9,70997,M&T Bank Stadium,3:05:00,
20181104CHIBUF,2018-11-04T13:00:00,2018,Week 9,68749,New Era Field,3:10:00,
20181104KANCLE,2018-11-04T13:00:00,2018,Week 9,67431,FirstEnergy Stadium,3:06:00,
20181104NYJMIA,2018-11-04T13:00:00,2018,Week 9,65533,Hard Rock Stadium,2:58:00,
20181104LACSEA,2018-11-04T16:05:00,2018,Week 9,68989,CenturyLink Field,3:06:00,
20181104HOUDEN,2018-11-04T16:05:00,2018,Week 9,76270,Sports Authority Field at Mile High,3:05:00,
20181104LARNOR,2018-11-04T16:25:00,2018,Week 9,73086,Mercedes-Benz Superdome,3:11:00,
20181104GNBNWE,2018-11-04T20:20:00,2018,Week 9,65878,Gillette Stadium,3:10:00,
20181105TENDAL,2018-11-05T20:15:00,2018,Week 9,90466,AT&T Stadium,2:55:00,closed
20181108CARPIT,2018-11-08T20:20:00,2018,Week 10,62881,Heinz Field,2:49:00,
20181111ATLCLE,2018-11-11T13:00:00,2018,Week 10,62144,FirstEnergy Stadium,2:49:00,
20181111DETCHI,2018-11-11T13:00:00,2018,Week 10,61393,Soldier Field,3:13:00,
20181111NORCIN,2018-11-11T13:00:00,2018,Week 10,52492,Paul Brown Stadium,2:44:00,
20181111JAXIND,2018-11-11T13:00:00,2018,Week 10,57473,Lucas Oil Stadium,3:05:00,closed
20181111ARIKAN,2018-11-11T13:00:00,2018,Week 10,76712,Arrowhead Stadium,2:54:00,
20181111WASTAM,2018-11-11T13:00:00,2018,Week 10,52667,Raymond James Stadium,3:01:00,
20181111BUFNYJ,2018-11-11T13:00:00,2018,Week 10,77982,MetLife Stadium,3:03:00,
20181111NWETEN,2018-11-11T13:00:00,2018,Week 10,69363,Nissan Stadium,2:59:00,
20181111LACOAK,2018-11-11T16:05:00,2018,Week 10,54750,Oakland-Alameda County Coliseum,2:51:00,
20181111MIAGNB,2018-11-11T16:25:00,2018,Week 10,78076,Lambeau Field,2:54:00,
20181111SEALAR,2018-11-11T16:25:00,2018,Week 10,72755,Los Angeles Memorial Coliseum,3:09:00,
20181111DALPHI,2018-11-11T20:20:00,2018,Week 10,69696,Lincoln Financial Field,3:02:00,
20181112NYGSFO,2018-11-12T20:15:00,2018,Week 10,69409,Levi's Stadium,3:06:00,
20181115GNBSEA,2018-11-15T20:20:00,2018,Week 11,69007,CenturyLink Field,2:56:00,
20181118DALATL,2018-11-18T13:00:00,2018,Week 11,74447,Mercedes-Benz Stadium,2:45:00,open
20181118CARDET,2018-11-18T13:00:00,2018,Week 11,61999,Ford Field,2:57:00,
20181118CINBAL,2018-11-18T13:00:00,2018,Week 11,70077,M&T Bank Stadium,3:05:00,
20181118TENIND,2018-11-18T13:00:00,2018,Week 11,57401,Lucas Oil Stadium,2:51:00,closed
20181118HOUWAS,2018-11-18T13:00:00,2018,Week 11,61593,FedExField,3:03:00,
20181118PITJAX,2018-11-18T13:00:00,2018,Week 11,67683,TIAA Bank Stadium,3:14:00,
20181118TAMNYG,2018-11-18T13:00:00,2018,Week 11,75863,MetLife Stadium,3:01:00,
20181118OAKARI,2018-11-18T16:05:00,2018,Week 11,62435,State Farm Stadium,3:02:00,closed
