id,date,season
20181216DETBUF,2018-12-16T13:00:00,2018
20181216GNBCHI,2018-12-16T13:00:00,2018
20181216OAKCIN,2018-12-16T13:00:00,2018
20181216DALIND,2018-12-16T13:00:00,2018
20181216WASJAX,2018-12-16T13:00:00,2018
20181216MIAMIN,2018-12-16T13:00:00,2018
20181216TENNYG,2018-12-16T13:00:00,2018
20181216TAMBAL,2018-12-16T13:00:00,2018
20181216SEASFO,2018-12-16T16:05:00,2018
20181216NWEPIT,2018-12-16T16:25:00,2018
20181216PHILAR,2018-12-16T20:20:00,2018
20181217NORCAR,2018-12-17T20:15:00,2018
20181222WASTEN,2018-12-22T16:30:00,2018
20181222BALLAC,2018-12-22T20:20:00,2018
20181223ATLCAR,2018-12-23T13:00:00,2018
20181223BUFNWE,2018-12-23T13:00:00,2018
20181223CINCLE,2018-12-23T13:00:00,2018
20181223NYGIND,2018-12-23T13:00:00,2018
20181223TAMDAL,2018-12-23T13:00:00,2018
20181223MINDET,2018-12-23T13:00:00,2018
20181223GNBNYJ,2018-12-23T13:00:00,2018
20181223HOUPHI,2018-12-23T13:00:00,2018
20181223JAXMIA,2018-12-23T13:00:00,2018
20181223CHISFO,2018-12-23T16:05:00,2018
20181223LARARI,2018-12-23T16:05:00,2018
20181223PITNOR,2018-12-23T16:25:00,2018
20181223KANSEA,2018-12-23T20:20:00,2018
20181224DENOAK,2018-12-24T20:15:00,2018
20181230ATLTAM,2018-12-30T13:00:00,2018
20181230MIABUF,2018-12-30T13:00:00,2018
20181230CARNOR,2018-12-30T13:00:00,2018
20181230DALNYG,2018-12-30T13:00:00,2018
20181230DETGNB,2018-12-30T13:00:00,2018
20181230JAXHOU,2018-12-30T13:00:00,2018
20181230NYJNWE,2018-12-30T13:00:00,2018
20181230CHIMIN,2018-12-30T16:25:00,2018
20181230CINPIT,2018-12-30T16:25:00,2018
20181230CLEBAL,2018-12-30T16:25:00,2018
20181230ARISEA,2018-12-30T16:25:00,2018
20181230LACDEN,2018-12-30T16:25:00,2018
20181230OAKKAN,2018-12-30T16:25:00,2018
20181230PHIWAS,2018-12-30T16:25:00,2018
20181230SFOLAR,2018-12-30T16:25:00,2018
20181230INDTEN,2018-12-30T20:20:00,2018
20190105INDHOU,2019-01-05T16:35:00,2018
20190105SEADAL,2019-01-05T20:15:00,2018
20190106LACBAL,2019-01-06T13:05:00,2018
20190106PHICHI,2019-01-06T16:40:00,2018
20190112INDKAN,2019-01-12T16:35:00,2018
20190112DALLAR,2019-01-12T20:15:00,2018
20190113LACNWE,2019-01-13T13:05:00,2018
20190113PHINOR,2019-01-13T16:40:00,2018
20190120LARNOR,2019-01-20T15:05:00,2018
20190120NWEKAN,2019-01-20T18:40:00,2018
20190203LARNWE,2019-02-03T18:30:00,2018
20190905GNBCHI,2019-09-05T20:20:00,2019
20190908ATLMIN,2019-09-08T13:00:00,2019
20190908BUFNYJ,2019-09-08T13:00:00,2019
20190908LARCAR,2019-09-08T13:00:00,2019
20190908TENCLE,2019-09-08T13:00:00,2019
20190908KANJAX,2019-09-08T13:00:00,2019
20190908BALMIA,2019-09-08T13:00:00,2019
20190908WASPHI,2019-09-08T13:00:00,2019
20190908CINSEA,2019-09-08T16:05:00,2019
20190908INDLAC,2019-09-08T16:05:00,2019
20190908DETARI,2019-09-08T16:25:00,2019
20190908NYGDAL,2019-09-08T16:25:00,2019
20190908SFOTAM,2019-09-08T16:25:00,2019
20190908PITNWE,2019-09-08T20:20:00,2019
20190909HOUNOR,2019-09-09T19:10:00,2019
20190909DENOAK,2019-09-09T22:20:00,2019
20190912TAMCAR,2019-09-12T20:20:00,2019
20190915BUFNYG,2019-09-15T13:00:00,2019
20190915SFOCIN,2019-09-15T13:00:00,2019
20190915INDTEN,2019-09-15T13:00:00,2019
20190915ARIBAL,2019-09-15T13:00:00,2019
20190915DALWAS,2019-09-15T13:00:00,2019
20190915LACDET,2019-09-15T13:00:00,2019
20190915MINGNB,2019-09-15T13:00:00,2019
20190915JAXHOU,2019-09-15T13:00:00,2019
20190915NWEMIA,2019-09-15T13:00:00,2019
20190915SEAPIT,2019-09-15T13:00:00,2019
20190915KANOAK,2019-09-15T16:05:00,2019
20190915CHIDEN,2019-09-15T16:25:00,2019
20190915NORLAR,2019-09-15T16:25:00,2019
20190915PHIATL,2019-09-15T20:20:00,2019
20190916CLENYJ,2019-09-16T20:15:00,2019
20190919TENJAX,2019-09-19T20:20:00,2019
20190922ATLIND,2019-09-22T13:00:00,2019
20190922CINBUF,2019-09-22T13:00:00,2019
20190922MIADAL,2019-09-22T13:00:00,2019
20190922DENGNB,2019-09-22T13:00:00,2019
20190922DETPHI,2019-09-22T13:00:00,2019
20190922BALKAN,2019-09-22T13:00:00,2019
20190922OAKMIN,2019-09-22T13:00:00,2019
20190922NYJNWE,2019-09-22T13:00:00,2019
20190922CARARI,2019-09-22T16:05:00,2019
20190922NYGTAM,2019-09-22T16:05:00,2019
20190922HOULAC,2019-09-22T16:25:00,2019
20190922NORSEA,2019-09-22T16:25:00,2019
20190922PITSFO,2019-09-22T16:25:00,2019
20190922LARCLE,2019-09-22T20:20:00,2019
